Rk;Player;Nation;Pos;Squad;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG
207;Neeskens Kebano;cd COD;FW,MF;Fulham;28-285;1992;1.3;3;2.29;2;0;0;1;0;0;0;0.00;0;0;0;0;0;0;0
208;Naby Keïta;gn GUI;MF;Liverpool;25-314;1995;4.4;10;2.28;8;0;0;2;0;0;1;0.23;1;0;0;0;0;0;0
209;Caoimhin Kelleher;ie IRL;GK;Liverpool;22-027;1998;1.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
210;Jonjoe Kenny;eng ENG;DF;Everton;23-280;1997;0.9;1;1.14;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
211;Max Kilman;eng ENG;DF;Wolves;23-211;1997;6.1;3;0.49;3;0;0;0;0;0;1;0.16;1;0;0;0;0;0;0
212;Mateusz Klich;pl POL;MF;Leeds United;30-190;1990;12.7;61;4.80;49;7;2;2;1;0;9;0.71;7;1;1;0;0;0;0
213;Robin Koch;de GER;DF;Leeds United;24-156;1996;10.1;8;0.79;8;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
214;Sead Kolašinac;ba BIH;DF;Arsenal;27-183;1993;1.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
215;Ezri Konsa;eng ENG;DF;Aston Villa;23-058;1997;10.0;1;0.10;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
216;Cheikhou Kouyaté;sn SEN;DF;Crystal Palace;30-365;1989;13.7;7;0.51;5;0;0;1;1;0;1;0.07;1;0;0;0;0;0;0
217;Mateo Kovačić;hr CRO;MF;Chelsea;26-228;1994;5.6;17;3.02;15;0;0;0;2;0;3;0.53;3;0;0;0;0;0;0
218;Emil Krafth;se SWE;DF;Newcastle Utd;26-140;1994;3.2;5;1.56;4;1;0;0;0;0;1;0.31;1;0;0;0;0;0;0
219;Filip Krovinović;hr CRO;MF;West Brom;25-113;1995;5.9;17;2.90;10;3;3;0;1;0;1;0.17;1;0;0;0;0;0;0
220;Alexandre Lacazette;fr FRA;FW,MF;Arsenal;29-206;1991;7.3;14;1.91;9;0;1;0;3;1;0;0.00;0;0;0;0;0;0;0
221;Adam Lallana;eng ENG;MF,FW;Brighton;32-224;1988;6.8;17;2.50;15;0;0;1;1;0;2;0.29;1;0;0;1;0;0;0
222;Érik Lamela;ar ARG;FW;Tottenham;28-291;1992;2.1;8;3.79;3;1;0;1;1;2;3;1.42;0;1;0;1;0;1;0
223;Tariq Lamptey;eng ENG;DF;Brighton;20-081;2000;9.8;24;2.44;19;0;1;0;4;0;4;0.41;2;0;0;0;2;0;0
224;Manuel Lanzini;ar ARG;MF,FW;West Ham;27-309;1993;1.2;6;4.86;3;1;0;0;1;1;2;1.62;1;0;0;0;1;0;0
225;Aymeric Laporte;fr FRA;DF;Manchester City;26-207;1994;4.0;4;1.00;4;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
226;Jamaal Lascelles;eng ENG;DF;Newcastle Utd;27-039;1993;7.5;1;0.13;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
227;Maxime Le Marchand;fr FRA;DF;Fulham;31-070;1989;1.4;2;1.46;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
228;Mario Lemina;ga GAB;MF;Fulham;27-110;1993;5.1;8;1.58;4;0;4;0;0;0;0;0.00;0;0;0;0;0;0;0
229;Bernd Leno;de GER;GK;Arsenal;28-291;1992;14.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
230;Jamal Lewis;nir NIR;DF;Newcastle Utd;22-330;1998;11.0;17;1.55;15;2;0;0;0;0;1;0.09;1;0;0;0;0;0;0
231;Victor Lindelöf;se SWE;DF;Manchester Utd;26-156;1994;11.0;5;0.45;5;0;0;0;0;0;1;0.09;1;0;0;0;0;0;0
232;Jake Livermore;eng ENG;MF;West Brom;31-036;1989;8.2;5;0.61;5;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
233;Diego Llorente;es ESP;DF;Leeds United;27-126;1993;0.9;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
234;Hugo Lloris;fr FRA;GK;Tottenham;33-360;1986;13.0;1;0.08;1;0;0;0;0;0;1;0.08;1;0;0;0;0;0;0
235;Giovani Lo Celso;ar ARG;MF;Tottenham;24-255;1996;4.3;16;3.68;10;3;0;1;2;0;3;0.69;3;0;0;0;0;0;0
236;Ruben Loftus-Cheek;eng ENG;FW,MF;Fulham;24-332;1996;5.7;8;1.40;4;0;1;1;2;0;0;0.00;0;0;0;0;0;0;0
237;Ruben Loftus-Cheek;eng ENG;FW;Chelsea;24-332;1996;0.7;1;1.50;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
238;Kevin Long;ie IRL;DF;Burnley;30-124;1990;6.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
239;Shane Long;ie IRL;FW,MF;Southampton;33-333;1987;0.8;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
240;Matthew Longstaff;eng ENG;MF;Newcastle Utd;20-274;2000;0.3;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
241;Sean Longstaff;eng ENG;MF;Newcastle Utd;23-051;1997;7.2;8;1.11;3;3;1;0;0;1;0;0.00;0;0;0;0;0;0;0
242;Ademola Lookman;eng ENG;FW;Fulham;23-061;1997;10.2;38;3.73;26;2;2;4;3;1;6;0.59;3;1;2;0;0;0;0
243;Max Lowe;eng ENG;DF;Sheffield Utd;23-223;1997;4.6;4;0.87;2;1;0;1;0;0;0;0.00;0;0;0;0;0;0;0
244;Matthew Lowton;eng ENG;DF;Burnley;31-194;1989;8.0;7;0.87;7;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
245;David Luiz;br BRA;DF;Arsenal;33-242;1987;5.3;3;0.56;2;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0
246;Douglas Luiz;br BRA;MF;Aston Villa;22-225;1998;9.6;20;2.09;17;2;0;1;0;0;3;0.31;3;0;0;0;0;0;0
247;John Lundstram;eng ENG;MF;Sheffield Utd;26-306;1994;8.1;18;2.22;13;4;0;0;0;1;1;0.12;0;1;0;0;0;0;0
248;Alexis Mac Allister;ar ARG;MF,DF;Brighton;21-362;1998;0.7;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
249;James Maddison;eng ENG;MF,FW;Leicester City;24-027;1996;7.8;34;4.33;16;8;2;1;5;2;5;0.64;2;0;0;0;2;1;0
250;Harry Maguire;eng ENG;DF;Manchester Utd;27-290;1993;12.0;11;0.92;7;0;1;1;1;1;2;0.17;0;0;0;1;0;1;0
251;Riyad Mahrez;dz ALG;FW,DF;Manchester City;29-303;1991;8.5;36;4.24;26;5;1;2;1;1;2;0.24;0;1;1;0;0;0;0
252;Ainsley Maitland-Niles;eng ENG;DF;Arsenal;23-113;1997;4.3;7;1.63;5;1;0;0;1;0;1;0.23;0;0;0;0;1;0;0
253;Sadio Mané;sn SEN;FW;Liverpool;28-254;1992;11.8;47;3.99;32;0;3;4;7;1;6;0.51;2;0;0;2;1;1;0
254;Javier Manquillo;es ESP;DF;Newcastle Utd;26-229;1994;5.1;5;0.98;4;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0
255;Fernando Marçal;br BRA;DF;Wolves;31-305;1989;5.5;3;0.54;3;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
256;Solly March;eng ENG;DF;Brighton;26-153;1994;11.3;31;2.74;25;3;3;0;0;0;3;0.26;2;1;0;0;0;0;0
257;Anthony Martial;fr FRA;FW;Manchester Utd;25-015;1995;6.0;13;2.15;9;0;1;1;2;0;3;0.50;1;0;0;1;1;0;0
258;Martinelli;br BRA;FW;Arsenal;19-185;2001;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
259;Emiliano Martínez;ar ARG;GK;Aston Villa;28-109;1992;11.0;3;0.27;3;0;0;0;0;0;1;0.09;1;0;0;0;0;0;0
260;Arthur Masuaku;cd COD;DF;West Ham;27-043;1993;9.4;29;3.07;20;2;4;2;1;0;2;0.21;2;0;0;0;0;0;0
261;Juan Mata;es ESP;FW;Manchester Utd;32-236;1988;3.7;18;4.84;12;4;0;2;0;0;5;1.34;3;1;0;1;0;0;0
262;Nemanja Matić;rs SRB;MF;Manchester Utd;32-141;1988;4.8;4;0.83;4;0;0;0;0;0;1;0.21;1;0;0;0;0;0;0
263;Joël Matip;cm CMR;DF;Liverpool;29-134;1991;5.5;5;0.91;4;0;0;1;0;0;1;0.18;0;0;0;1;0;0;0
264;Neal Maupay;fr FRA;FW,MF;Brighton;24-128;1996;9.5;21;2.22;15;0;3;1;1;1;3;0.32;3;0;0;0;0;0;0
265;James McArthur;sco SCO;MF;Crystal Palace;33-074;1987;11.3;15;1.33;14;0;0;0;1;0;1;0.09;1;0;0;0;0;0;0
266;Oliver McBurnie;sco SCO;FW;Sheffield Utd;24-199;1996;8.7;17;1.96;14;0;0;2;1;0;1;0.12;0;0;0;0;1;0;0
267;Alex McCarthy;eng ENG;GK;Southampton;31-017;1989;14.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
268;James McCarthy;ie IRL;MF;Crystal Palace;30-038;1990;3.7;5;1.36;3;1;0;0;0;1;1;0.27;0;0;0;0;0;1;0
269;John McGinn;sco SCO;MF;Aston Villa;26-063;1994;11.0;34;3.09;30;0;2;0;2;0;7;0.64;5;0;1;0;1;0;0
270;David McGoldrick;ie IRL;FW;Sheffield Utd;33-021;1987;6.8;12;1.76;7;0;3;0;1;1;0;0.00;0;0;0;0;0;0;0
271;Dwight McNeil;eng ENG;MF;Burnley;21-028;1999;12.0;26;2.17;15;7;0;0;4;0;2;0.17;1;1;0;0;0;0;0
